Applicant_Client_ID,Emphasis Area,Emphasis Area 2,Emphasis Area 3,UU_APPL_CITIZEN,CTZNSHP,AGE,SEX,LOW_INCOME,UU_FIRSTGEN,UU_APPL_NTV_LANG,HAS_LANGUAGE_TEST,TEST_READ,TEST_SPEAK,TEST_WRITE,TEST_LISTEN,MAJOR,GPA,NUM_PREV_INSTS,HAS_GRE_GEN,GRE_VERB,GRE_QUANT,GRE_AW,HAS_GRE_SUBJECT,GRE_SUB,NUM_RECOMMENDS,R_AVG_ORAL,R_AVG_WRITTEN,R_AVG_ACADEMIC,R_AVG_KNOWLEDGE,R_AVG_EMOT,R_AVG_MOT,R_AVG_RES,R_AVG_RATING,RATING,DECISION
3951716,Materials and Fluids,Geometry/Topology,Differential Equations,No,BANGLADESH,26.3,Male,Not Sure,Unspecified,Other,No,,,,,Pure Mathematics,2.59,2,Yes,161,168,4,No,,3,16.7,16.7,16.7,10,13.3,13.3,13.3,13.3,3.8,Waitlist
3951783,Probability,Geometry/Topology,Applied Mathematics,No,UNITED STATES,28.9,Male,No,Unspecified,Other,Yes,26,20,23,26,Mathematics,3.55,2,Yes,150,168,3,Yes,700,4,12.5,8.8,17.5,12.5,17.5,20,17.5,25,4.15,Waitlist
3952121,Number Theory,0,0,Yes,UNITED STATES,20.4,Male,No,Unspecified,English,No,,,,,Mathematics,3.72,1,Yes,160,165,4,Yes,520,3,8.3,6.7,13.3,16.7,5,16.7,10,18.3,3.13,Reject
3952245,Commutative Algebra,Geometry/Topology,Number Theory,Yes,UNITED STATES,21.7,Male,No,Unspecified,English,No,,,,,Mathematics,4,2,Yes,161,166,4.5,Yes,760,3,20,16.7,16.7,20,20,20,13.3,23.3,2,Reject
3952252,Geometry/Topology,Algebraic Geometry,Commutative Algebra,Yes,UNITED STATES,23,Female,No,Unspecified,English,No,,,,,Mathematics,3.49,3,Yes,165,162,4,Yes,570,3,8.3,10,10,13.3,13.3,10,10,20,4,Reject
3952280,Statistics,Applied Mathematics,0,No,INDIA,29,Male,Not Sure,Unspecified,English,No,,,,,Mathematics,2.98,3,Yes,156,168,3.5,No,,3,13.3,16.7,13.3,13.3,16.7,20,3.3,18.3,1,Reject
3952343,Algebraic Geometry,Commutative Algebra,Representation Theory,Yes,UNITED STATES,21.5,Male,No,Unspecified,English,No,,,,,Mathematics,3.94,1,Yes,162,170,6,Yes,800,3,16.7,16.7,20,20,15,16.7,20,26.7,5,Admit
3952426,Algebraic Geometry,Commutative Algebra,Number Theory,Yes,UNITED STATES,22.3,Female,No,Unspecified,English,No,,,,,Mathematics,3.75,1,Yes,169,168,4.5,Yes,690,3,13.3,16.7,20,20,16.7,20,13.3,26.7,4.2,Admit
3952563,Algebraic Geometry,0,0,No,CHINA,25.2,Male,Unspecified,Unspecified,Traditional Chinese,Yes,30,19,25,29,Mathematics,3,2,Yes,150,168,3,Yes,840,3,11.7,10,11.7,11.7,6.7,13.3,11.7,13.3,4.9,Admit
3952592,Algebraic Geometry,Commutative Algebra,Number Theory,No,CHINA,21.1,Unspecified,Yes,Unspecified,Simplified Chinese,Yes,30,24,27,21,Mathematics,3.9,2,Yes,150,170,3.5,Yes,880,3,10,10,16.7,16.7,13.3,20,10,23.3,3.38,Reject
3952740,Geometry/Topology,Algebraic Geometry,Undecided,Yes,UNITED STATES,25.1,Male,Not Sure,Unspecified,English,No,,,,,Mathematics,3.66,2,No,,,,No,,4,20,20,20,20,17.5,20,20,30,3.5,Reject
3952761,Commutative Algebra,Algebraic Geometry,Undecided,No,MEXICO,24.6,Female,Not Sure,Unspecified,Spanish,Yes,24,20,25,27,Mathematics,3.8,2,Yes,154,166,3,Yes,630,3,15,15,16.7,20,16.7,16.7,16.7,20,2.5,Reject
3952881,Differential Equations,Mathematical Biology,Applied Mathematics,No,IRAN (ISLAMIC REPUBLIC OF),40.5,Female,Yes,Unspecified,Other,No,,,,,Mathematics,2.78,4,Yes,134,157,2,No,,3,13.3,16.7,20,20,20,20,20,26.7,4.8,Waitlist
3952888,Algebraic Geometry,Geometry/Topology,Number Theory,No,KAZAKHSTAN,26.6,Male,Unspecified,Unspecified,Other,Yes,25,21,19,30,Applied Mathematics,3.59,2,Yes,144,170,3,Yes,670,3,20,16.7,20,16.7,20,20,20,30,2.25,Reject
3952904,Mathematical Biology,0,0,Yes,UNITED STATES,21.9,Female,No,Unspecified,English,No,,,,,Applied Mathematics,3.86,1,Yes,164,168,4,No,,3,20,20,13.3,20,16.7,20,20,26.7,2,Reject
3952916,Mathematical Biology,Materials and Fluids,Numerical Analysis,No,CHINA,29.2,Female,Not Sure,Unspecified,Simplified Chinese,No,,,,,Mathematics,3.58,2,Yes,146,170,3,Yes,680,2,10,10,10,15,10,20,15,12.5,3.77,Waitlist
3952937,Algebraic Geometry,Geometry/Topology,Commutative Algebra,Yes,UNITED STATES,22.2,Male,No,Unspecified,English,No,,,,,Mathematics,3.83,2,Yes,165,165,5,Yes,670,3,20,20,20,20,20,20,20,23.3,3,Reject
3952988,Algebraic Geometry,Representation Theory,0,Yes,UNITED STATES,21.7,Female,Unspecified,Unspecified,English,No,,,,,Mathematics,4,2,Yes,164,167,4,Yes,730,3,16.7,16.7,20,20,20,20,20,30,3.5,Waitlist
